no,functions,road,location,area,direction,speed_limit,,,,
1,測速,環河北路3段,葫蘆街,士林,南向北,50,,,,
2,測速,仰德大道2段,115巷口,士林,下山方向,40,,,,
3,測速及大貨車於禁行時段行駛,仰德大道4段,75號前(格致中學前),士林,上下山雙向,40,,,,
4,測速,承德路4段,百齡高中前,士林,南向北,50,,,,   
5,闖紅燈,中正路,與基河路口,士林,西向東,50,,,,
6,闖紅燈,中正路,重慶北路口,士林,西向東,50,,,,
7,闖紅燈,中正路,士商路口,士林,東向西,50,,,,
8,闖紅燈,中山北路5段,378巷(消防隊),士林,南向北,50,,,,
9,測速,仰德大道2段,29巷口,士林,下山方向,40,,,,
10,測速,環河北路2段,近敦煌路,大同,北向南,60,,,,
11,測速,承德路4段,通河街,大同,北向南,50,,,,
12,測速,承德路3段,敦煌路,大同,南北雙向,50,,,,
13,闖紅燈,承德路2段,錦西街口,大同,北向南,50,,,,
14,測速(兼闖紅燈),台北橋機車道下橋,民權路  延平北路,大同,西向東,50,,,,
15,闖紅燈,承德路,市民大道口(東北),大同,東向西,40,,,,
16,測速,基隆高架道,下敦化南路段,大安,南向北,60,,,,
17,測速,辛亥路3段,157巷(下北二高),大安,東向西,50,,,,
18,測速,新生南路,金華街口,大安,北向南,50,,,,
19,測速,和平東路1段,國立師範大學前,大安,西向東,50,,,,
20,測速,建國南路2段,179號往北,大安,南向北,50,,,,
21,測速,市民大道3段,214號前,大安,西向東,40,,,,
22,測速,基隆路3段,長興街,大安,南向北,50,,,,
23,測速,建國高架道,和平東路上方,大安,北向南,70,,,,
24,測速,新生南路3段,58號台大側門,大安,南向北,50,,,,
25,闖紅燈,辛亥路2段,台大語文中心(快車道),大安,西向東,50,,,,
26,闖紅燈,辛亥路2段,復興南路口,大安,西向東,50,,,,
27,闖紅燈,和平東路3段,228巷,大安,西向東,50,,,,
28,闖紅燈,敦化南路2段,和平東路,大安,北向南,50,,,,
29,測速,建國高架道,長春路入口,中山,北向南,70,,,,
30,測速,新生北路高架道,民族東路入口(往南),中山,北向南,70,,,,
31,測速,復興北路,車行地下道北出口處,中山,南向北,40,,,,
32,測速,樂群一路,基湖路口西往東天橋下(金泰公園),中山,西向東,50,,,,
33,測速,明水路,325號,中山,東西雙向,50,,,,
34,測速,市民高架道,下建國南路,中山,東西雙向,80,,,,
35,測速,北安路,海軍司令部前,中山,東西雙向,50,,,,
36,闖紅燈,民權東路,建國北路口,中山,南向北,50,,,,
37,闖紅燈,民生東路3段,遼寧街口（台北大學前）,中山,西向東,50,,,,
38,闖紅燈,北安路,明水路（劍南路口前端）,中山,東向西,50,,,,
39,闖紅燈,松江路,民族東路,中山,北向南,50,,,,
40,闖紅燈,建國北路1段,長安東路口,中山,南向北,50,,,,
41,闖紅燈,復興北路,民生東路,中山,北向南,50,,,,
42,闖紅燈,中山北路2段,民生西路,中山,北向南,50,,,,
43,闖紅燈,中山北路2段,長春路口,中山,南往北,50,,,,
44,闖紅燈,松江路,農安街口,中山,南向北,50,,,,
45,闖紅燈,建國北路,農安街口,中山,北向南,50,,,,
46,測速,中華路1段,秀山街口,中正一,南向北,50,,,,
47,測速,仁愛路2段,(61號前右車道)臨沂街口,中正一,東向西,50,,,,
48,測速,市民大道(高架道),京站百貨前,中正一,西往東,80,,,,
49,測速,忠孝東路3段,近建國南路口,中正一,西向東,50,,,,
50,闖紅燈,中山南路,濟南路口,中正一,南向北,50,,,,
51,闖紅燈,金山南路,銅山街口,中正一,南向北,50,,,,
52,闖紅燈,中華路1段,貴陽路口,中正一,南向北,50,,,,
53,闖紅燈,中山南路,愛國西路口,中正一,北向南,50,,,,
54,闖紅燈,忠孝東路1段,林森南路口,中正一,東向西,50,,,,
55,測速,重慶南路3段,27巷口,中正二,南北雙向,50,,,,
56,測速及大貨車於禁行時段行駛,水源快速道路,師大路口上,中正二,北向南,60,,,,
57,闖紅燈,和平西路2段,寧波西街口,中正二,東向西,50,,,,
58,闖紅燈,重慶南路3段,和平西路口,中正二,北向南,50,,,,
59,闖紅燈,和平西路,寧波西街口,中正二,西往東,50,,,,
60,測速兼闖紅燈,仰德大道3段,陽明山國小前,士林,往下山方向,40,,,,
61,測速,金湖路,200號前,內湖,南向北,50,,,,
